medication_key,medication_id,medication_name,medication_class,default_unit
1,MED001,Paracetamol,Antalgique,mg
2,MED002,Ibuprofene,Anti-inflammatoire,mg
3,MED003,Amoxicilline,Antibiotique,mg
4,MED004,Amlodipine,Antihypertenseur,mg
5,MED005,Metformine,Antidiabetique,mg
6,MED006,Losartan,Antihypertenseur,mg
7,MED007,Cetirizine,Antihistaminique,mg
8,MED008,Omeprazole,Antiacide,mg
9,MED009,Salbutamol,Bronchodilatateur,mcg
10,MED010,Azithromycine,Antibiotique,mg
11,MED011,Diclofenac,Anti-inflammatoire,mg
12,MED012,Levothyroxine,Hormone thyroidienne,mcg
13,MED013,Atorvastatine,Hypolipemiant,mg
14,MED014,Ciprofloxacine,Antibiotique,mg
15,MED015,Loratadine,Antihistaminique,mg
16,MED016,Ranitidine,Antiacide,mg
17,MED017,Simvastatine,Hypolipemiant,mg
18,MED018,Clarithromycine,Antibiotique,mg
19,MED019,Prednisolone,Corticosteroide,mg
20,MED020,Furosemide,Diuretique,mg
21,MED021,Metronidazole,Antibiotique,mg
22,MED022,Insuline glargine,Antidiabetique,UI
23,MED023,Aspirine,Antiagregant,mg
24,MED024,Bisoprolol,Beta-bloquant,mg
25,MED025,Clopidogrel,Antiagregant,mg
26,MED026,Dexamethasone,Corticosteroide,mg
27,MED027,Fluconazole,Antifongique,mg
28,MED028,Gabapentine,Anticonvulsivant,mg
29,MED029,Hydrochlorothiazide,Diuretique,mg
30,MED030,Ibersartan,Antihypertenseur,mg
31,MED031,Ketoprofene,Anti-inflammatoire,mg
32,MED032,Lansoprazole,Antiacide,mg
33,MED033,Mebeverine,Antispasmodique,mg
34,MED034,Naproxene,Anti-inflammatoire,mg
35,MED035,Ondansetron,Antiemetique,mg
36,MED036,Pantoprazole,Antiacide,mg
37,MED037,Quetiapine,Antipsychotique,mg
38,MED038,Ranitidine Bismuth,Antiacide,mg
39,MED039,Sertraline,Antidepresseur,mg
40,MED040,Tramadol,Antalgique,mg
41,MED041,Ursodiol,Hepatoprotecteur,mg
42,MED042,Valsartan,Antihypertenseur,mg
43,MED043,Warfarine,Anticoagulant,mg
44,MED044,Xylometazoline,Decongestionnant,mg
45,MED045,Yohimbine,Autre,mg
46,MED046,Zolpidem,Hypnotique,mg
47,MED047,Doxycycline,Antibiotique,mg
48,MED048,Escitalopram,Antidepresseur,mg
49,MED049,Fexofenadine,Antihistaminique,mg
50,MED050,Glimepiride,Antidiabetique,mg
